	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
D5Ertd579e	1057	827	1083	1325	1367	1155	1004	758	944	1339	969	1099
D5Ertd605e	3	15	7	13	6	6	29	20	3	8	12	22
D5Ertd615e	0	0	0	0	0	0	0	0	0	0	0	0
D630002J18Rik	0	0	0	0	0	0	0	0	0	2	0	2
D630003M21Rik	0	0	0	0	0	0	0	8	0	0	0	0
D630008O14Rik	19	36	95	38	16	46	28	35	35	42	18	32
D630011A20Rik	0	0	0	0	0	0	0	0	0	0	0	0
D630014O11Rik	0	0	7	0	0	0	0	0	0	0	0	0
D630023F18Rik	0	0	0	4	0	0	0	5	0	0	0	0
D630023O14Rik	0	0	0	0	0	0	1	1	0	0	1	0
D630024D03Rik	0	0	0	4	0	0	0	4	0	0	0	0
D630029K05Rik	0	5	0	0	0	0	0	0	10	4	8	0
D630030B08Rik	31	24	45	4	17	22	20	25	30	19	3	14
D630033A02Rik	31	15	24	26	29	20	34	26	17	24	9	18
D630033O11Rik	0	0	0	0	0	0	2	2	0	0	0	0
D630036H23Rik	0	0	0	3	0	0	0	0	0	0	0	1
D630039A03Rik	1	11	0	163	120	69	0	29	11	73	117	44
D630044L22Rik	7	5	4	3	9	2	3	2	4	1	3	2
D630045J12Rik	2	0	1	58	66	44	0	29	4	22	8	13
D6Ertd474e	4	0	0	0	0	0	1	3	0	0	1	0
D6Ertd527e	17	6	20	33	15	19	2	7	14	28	26	25
D6Wsu163e	402	498	227	608	560	326	427	463	304	552	553	422
D730003I15Rik	143	109	123	141	131	92	94	73	103	80	86	99
D730003K21Rik	48	37	50	45	19	31	41	21	31	11	14	20
D730005E14Rik	57	66	79	61	87	60	58	58	49	81	85	49
D730044K07Rik	23	18	32	16	5	7	16	15	15	24	10	10
D730045A05Rik	0	0	0	0	0	0	0	0	0	0	0	0
D730045B01Rik	15	17	7	21	6	11	2	2	2	9	15	19
D730050B12Rik	0	0	0	0	0	0	0	0	0	0	0	0
D7Bwg0826e	9	5	38	32	22	12	29	4	14	23	15	8
D7Ertd128e	0	0	0	4	0	0	0	0	0	1	4	0
D7Ertd443e	0	0	0	0	0	0	0	0	0	0	0	0
D830005E20Rik	0	1	0	0	0	0	0	0	0	0	0	0
D830013O20Rik	0	0	0	0	0	0	0	0	0	0	0	0
D830024N08Rik	0	2	2	6	12	7	3	11	7	5	0	2
D830025C05Rik	85	75	135	73	54	45	60	85	43	51	39	48
D830026I12Rik	1	0	0	0	0	0	0	0	0	1	0	0
D830030K20Rik	0	1	0	0	0	0	0	0	0	0	0	0
D830032E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
D830035M03Rik	24	26	20	16	18	10	31	35	18	21	10	7
D830036C21Rik	18	6	30	15	22	22	15	8	24	22	13	9
D830039M14Rik	1	0	14	0	0	1	0	0	2	5	3	0
D830044D21Rik	0	0	0	0	0	0	0	0	0	0	0	0
D830050J10Rik	63	32	53	32	38	38	48	70	46	42	18	27
D8Ertd738e	3532	3158	4037	3660	2640	2636	2976	3184	2694	3243	2911	3241
D930007J09Rik	3	0	0	2	1	4	0	0	4	3	1	0
D930007P13Rik	0	0	0	5	2	0	0	1	1	1	1	0
D930015M05Rik	6	6	23	1	7	8	6	7	19	8	9	7
D930016D06Rik	83	42	147	40	85	36	69	105	60	73	39	19
D930019O06Rik	0	0	1	1	0	0	0	0	0	2	1	0
D930020B18Rik	0	5	1	0	0	0	2	4	0	0	1	0
D930028M14Rik	101	89	56	7	6	4	70	41	42	26	28	21
D930030I03Rik	9	16	22	48	32	33	3	12	10	28	26	27
D930032P07Rik	0	0	3	0	0	0	2	0	0	0	0	0
D930036K23Rik	0	0	0	0	0	0	0	0	0	0	0	0
D930048N14Rik	107	109	0	250	269	171	132	121	56	185	128	64
D9Wsu149	4	1	3	6	0	1	1	9	7	2	7	4
Daam1	167	164	203	170	157	108	334	187	184	174	105	187
Daam2	14	0	4	6	0	0	6	2	1	2	4	1
Dab1	0	0	0	0	0	0	0	0	0	0	0	0
Dab2	452	27	11	632	56	1	105	43	22	154	133	10
Dab2ip	11	6	0	9	6	0	5	84	0	13	5	0
Dach1	11	0	0	2	0	1	0	0	0	0	0	0
Dach2	8	6	0	0	0	3	13	11	0	4	0	13
Dact1	30	6	9	20	0	8	19	6	4	7	2	16
Dact2	0	0	0	0	0	7	0	9	4	1	0	0
Dact3	2	0	0	5	3	10	0	0	2	2	4	5
Dad1	5498	6034	5597	7288	5602	4725	6023	6577	5317	5648	6722	6514
Dag1	1878	876	1112	1124	991	835	1306	951	957	1001	666	794
Dagla	11	0	0	7	0	0	25	0	8	14	6	0
Daglb	565	470	397	943	692	548	568	547	381	898	777	608
Dalir	0	0	0	0	0	0	0	0	0	0	0	0
Dalrd3	1906	1652	2109	2667	2008	1253	1810	1755	1295	2065	931	1080
Dancr	123	112	106	69	100	53	98	85	41	100	86	42
Dand5	178	202	109	193	183	121	164	193	106	160	232	114
Dao	0	0	0	0	0	0	0	0	0	1	0	0
Dap	1668	1079	1080	2567	1859	1790	1885	1750	1350	2395	1825	1824
Dap3	2796	2960	2687	1860	1291	1072	3101	3671	2233	1707	1639	1509
Dapk1	321	188	83	245	23	8	406	929	38	131	54	9
Dapk2	25	39	98	2467	2104	1836	536	212	292	1256	1234	1211
Dapk3	2135	2373	2315	2637	2464	1851	2286	2613	1690	2195	2138	2170
Dapl1	6226	6508	5922	22	110	26	5647	5040	4726	105	247	121
Dapp1	1639	1483	1476	1813	1637	1059	1459	2018	1257	1436	1580	1396
Dars	4911	5793	3193	4584	4444	3302	5337	6450	4476	4345	5016	4048
Dars2	731	867	315	561	421	377	705	627	454	772	580	398
Daw1	0	0	0	1	0	0	0	0	0	0	0	0
Daxx	4402	5174	3030	2908	2391	1664	3935	4662	2481	3522	3039	2250
Dazap1	2668	2275	2096	2263	1902	1756	2461	2307	1906	1754	1907	2228
